en,as,bn,doi,gu,hi,kn,kok,ml,mn,mr,ne,or,pa,ta,te,ur
2g1c,পকৰ মাৰ,আমার নুনু চাট,भैड़ी/भैड़ा,ભેણછોદ,भादवा,ತಿಕ,आवोई झोवणो,നിൻ്റെ അമ്മ പട്ടി,ꯑꯈꯠꯄꯤ,लंड,आमा टोकुवा,ଅଭଦ୍ର,ਫੁੱਦੀ,கூமுட்டை,పుకా,لعنت
2 girls 1 cup,বাঁহ খোৱা,বাল বিচি,लूत,માદરચોદ,भोस्डिके,ತುಣ್ಣೆ,अवोईची फुद्ध,ആന കുണ്ണ,ꯑꯈꯠꯄꯤ ꯅꯨꯄꯤ,लौडा,अलछिना,ବଡ ବୋଉ ଘିଆ,ਲੋਡ,கம்மனாட்டி,పూకు,حرامی۔
acrotomophilia,বাল,গান্ডু,टौंस,ભોંસડીના,चुटिया,ತುಣ್ಣಿ,माईची फुद्ध,ആന വെടി,ꯑꯃꯨꯀꯥꯇ꯭ꯔꯣꯡ,लवडा,आँडे,ବାଣ୍ଡ,ਤੇਰੀ ਮਾਂ ਡੀ,சாவுகிராக்கி,మొడ్డ,ناجائز
alabama hot pocket,বাল কেলা,বাবা চোদা রেন্ডি,मोया/मोयी,ભોંસડીની,गांडू,ತುಲ್ಲು,बाकरी,അച്ഛൻ്റെ അണ്ടി,ꯑꯉꯥꯎꯕꯥ,बुल्ला,अपुताली,ବାଣ୍ଡ ମୁଣ୍ଡି,ਲੰਡ ਫਾਡ ਲਾ,பொறம்போக்கு,లంజ,بدمعاش
alaskan pipeline,কেলা,বানচোদ,परगट्ट,લોડા,रंडी,ಶಾಟ,बाबाक झोवण्या,അച്ചിങ്ങ കുണ്ണൻ,ꯑꯉꯥꯎꯕꯤ,आंड,बाँदर्नी,ଗାଣ୍ଡିଆ,ਲੋਡੇ ਤੇ ਵਾਜ,கிழட்டு,కొడక,رنڈی
anal,বাল খোৰোৱা,বাড়া,त्रट्टनू,હિજડા,नपुंसक,ಬೋಸುಡಿ,बाबाय आंड,അണ്ടി പിടിയൻ,ꯑꯄꯪ,गोटी,बाहुनी काठी,ବେଧ ଟୋକା,ਪੈਰਾਹੁਨਾ,புண்டை,కొజ్జనా కొడక,ذلیل
anilingus,বাপেৰৰ কণীটো,বোগা,कफ्फनू,છક્કો,लौड़े,ಬೋಸುಡಿಕೆ,बैनिक झोवण्या,അപ്പി കുണ്ണ,ꯑꯄꯪ ꯂꯥꯕ,गोट्या,बाईँ लगाएर बस्,ବେଧେଇ,ਫੁੱਦੂ,கருமம்,బోసీడికె,سؤر
anus,বাপেৰৰ পকৰটো,বোগা খা,भूतनी दा,ચોદીના,लौड़े,ಡಗಾರ್,बेवर्षी,ചലം നക്കി,ꯑꯄꯪ ꯂꯥꯕꯥ,पुच्ची,बाइफाली,ବେଧେଇ ପୁଅ,ਸਾਲੇ,கருமான்றம்,దెంగు,مادرچود
apeshit,বান্দৰ চুদা,খানকি মাগী,मादरचोद,ચૂતીયા,भैनचोद,ಸೂಳೆ,भिकारचोत,ചന്തി,ꯑꯄꯪꯖꯥꯎ,भोसडा,बजिया,ଭଉଣୀ ଗିହା,ਫੁੱਦੀ ਦੀਆ,போட்ட,దెంగి,بہن چود
arsehole,,বোকাচোদা,सिर खे,ચુત,कुत्ता,ಬೋಳಿ,भोकाण बोट,കുണ്ടി,ꯕꯦꯁꯥ,चूत,बान्चोट (बहनचोंद),ବିଆ ଫଟା ମାଡ,ਬੂ ਦਾ ਬੋਜ,ஓத்தா,దెంగుతా,زنا
ass,বাৰী,চোদনা,फिट्टे मूंह्,રાંડ,हरामी,ಮುಂಡೆ,चेदी,ഇഞ്ചി മൊല,ꯕꯤꯍꯥꯔꯤ,फोदरी,बतासे,ବିଆ,ਕੰਜਰ,மயிறு,దెంగ,لنڈ
asshole,বেঙেনা মৰা,চোদন,भैनू दा यार,ચોદીની,मादरचोद,ರಂಡೆ,चेदीच्या झोवण्या,കാട്ടു പൂറി,ꯕꯨꯙꯨ,फोदी,बाउ टोकुवा,ବିଜ,ਹਬਸ਼ੀ,கூதி,ముండ,گانڈو
assmunch,বিল্লা চুদা,চুদ,भोसड़ी दा,ચોદકામ,गस्ती,ರಂಡಿ,झोवण्या,കണ്ടി,ꯕꯨꯙꯨ ꯂꯥꯕ,भोक,बौलाहा,ବୁଜୁଲା,ਮੁਥਲ,சுன்னி,సాలే,چڈھا
auto erotic,,চুদির ভাই,चूतिआ,ચૂતમારીની,पागल,ಮಿಂಡ್ರಿ,चोंत,കണ്ണി മൊല,ꯕꯨꯙꯨ ꯂꯥꯕꯥ,गांड,बौलाही,ଚୋଦିପୁଅ,ਪੈਨਚੋ,சூத்து,హౌలే,کمینہ
autoerotic,বৈনাক চুদা,ধোন,लुंडा,બહેનચોદ,खोता,ಮಿಂಡ,चोंतली,കണ്ണി മുല,ꯕꯨꯙꯨꯖꯥꯎ,बोचा,वेशिया/ वेश्या / बेश्ये,ଛୁକିବା,ਭੈਣ ਦਾ ਸ਼ੋਲਾ,சூத்து,లఫూట్,منحوس
babeland,বৈঠালি,ফোগা,साला,લંડ,फाड़ दूंगा,ಮೊಲೆ,फोडो,കരി കുണ്ണ,ꯕꯨꯗꯨ,झाट,भालु,ଦନା,ਭੇਂਚੋਡਾ,தாயொலி,నా కొడక,گدا
baby batter,বুছ চেলেকা,গরুর বাচ্চা,उल्लु दा पट्ठा,ગાંડ,फट गई,ಕೇಯ,फोद्री,തായോളി,ꯕꯨꯗꯨ ꯂꯥꯕ,झव,भाते,ଗାଣ୍ଡି,ਕਿੰਨਰ,தாயோளி,ఫక్,نکما
baby juice,বুছ,গুদ,र् हामी,લોડો,कमीना,ನೀನ್ನಮ್ಮನ್,गांड,പൂർ,ꯕꯨꯗꯨ ꯂꯥꯕꯥ,चोद,भट्टू,ଗାଣ୍ଡି ଘିଆ,ਚਿੱਤਰ,தங்கையொலி,గుద్ద,خبیث
ball gag,বুছ মৰা,গুদ মারানি,कुत्ती/कुत्ता,વૈશ્યા,बदिर,ನಿನ್ನಕ್ಕನ್,गांडी बोट गाली,മൈരൻ,ꯕꯨꯗꯨꯖꯥꯎ,चोदणे,भतुवा,ଗେହିଁବା,ਫੁੱਦੀ ਦਾ ਟੋਟਾ,தங்கையொளி,గుద్ధ,شیطان
ball gravy,বুছ মাৰা,ল্যাওড়া চোদা,कंजरी/कंजर,ભોંસડીચોદ,बदिरचंद,ನಿನ್ನವ್ವನ್,मारी,കൂത്തിച്ചി,ꯆꯥꯛꯊꯨ,हगणे,भेजा,ଗୋଷ୍ଠି ଘିଆ,ਗੰਡੂ,தேவுடியா,సుల్లి,نامرد
ball kicking,ছেট,হারামজাদা,फुदी दा,ચોદું,बकलंड,ಉಚ್ಚೆ,मिन्नी,കുണ്ടൻ,ꯆꯛꯊꯨ,हग,भुँडे,ହିଞ୍ଜଡା,ਬੰਨ੍ਹ,பூல்,వట్టకై,الو کا پٹھا
ball licking,গাৰ,উদ্গান্ডু,फुदु,ડોફા,भड़वा,ಬುಲ್ಲಿಕೆ,मोम्मे,കുണ്ണൻ,ꯆꯥꯎꯈꯠꯇꯕꯥ,मुतणे,भुत्रो,ମାଘିଆ,ਬੁੰਡ ਮਾਰਾ,பூளூம்பி,లవాడ,سالہ
ball sack,গাৰ মৰা,খাঁকি,मांचौद,લખોટા,भंडवा,ಚಿನಾಲಿಕೆ,मोमो,മൂഞ്ചിക്കോ,ꯒꯗꯥ ꯂꯥꯕ,मुत,बोका,ପେଲେଇ ପୁଅ,ਧੀ ਛੋ,ஊம்பு,లవడ,بھگوڑا
ball sucking,গাৰ মাৰা,মাগ্গি,अ’न्नी दा,ગોટીયા,भूतनी का,ಚಿನಾಲಿ,पादू,നായിന്റെ മോൻ,ꯒꯗꯥ ꯂꯥꯕꯥ,रांड,बोक्सी,ପୁଡି,ਚੱਕਾ,லவதே,పిర్రలు,شراب
